GivenName	Surname	Gender	City	StateFull	ZipCode	TelephoneNumber	Birthday	BloodType
Cinderella	Beauchamp	female	SALON-DE-PROVENCE	Provence-Alpes-Côte d'Azur	13300	04 44 40 12 39	3/22/1988	B+
Amber	Desnoyer	female	PARIS	Île-de-France	75010	01 92 07 26 82	4/3/1993	B+
Francis	Gabriaux	male	LYON	Rhône-Alpes	69001	04 24 86 68 53	2/24/1949	O+
Véronique	Lemelin	female	FORBACH	Lorraine	57600	03 17 56 68 77	9/5/1959	O+
Eulalie	Boulé	female	LYON	Rhône-Alpes	69006	04 65 72 80 76	11/21/1941	A+
Olivier	Bernaud	male	BORDEAUX	Aquitaine	33000	05 30 21 08 38	4/12/1982	B+
Landers	Lalonde	male	MARSEILLE	Provence-Alpes-Côte d'Azur	13013	04 03 67 02 19	9/10/1960	O+
Porter	Tougas	male	FOUGÈRES	Bretagne	35300	02 10 56 79 74	11/24/1951	O+
Hamilton	Varieur	male	VILLENEUVE-D'ASCQ	Nord-Pas-de-Calais	59493	03 46 92 18 07	8/31/1971	B+
Avice	Lanctot	female	MELUN	Île-de-France	77000	01 51 41 53 33	6/30/1993	A+
Zoé	CinqMars	female	SAINT-LEU	Guyane	97436	02 98 28 70 34	12/3/1994	O+
Xavier	Pitre	male	CHARENTON-LE-PONT	Île-de-France	94220	01 19 60 75 17	5/28/1969	O+
Christelle	Soucy	female	CANNES-LA-BOCCA	Provence-Alpes-Côte d'Azur	6150	04 62 44 64 40	6/2/1982	A+
Burkett	Bérubé	male	SAUMUR	Pays de la Loire	49400	02 44 35 44 04	1/30/1980	O+
Astrid	Lapointe	female	NANTES	Pays de la Loire	44200	02 66 47 60 77	3/5/1971	O+
Fletcher	Desaulniers	male	CHÂTEAUROUX	Centre	36000	02 07 39 48 00	12/7/1970	O+
Creissant	Lavoie	female	COGNAC	Poitou-Charentes	16100	05 94 29 01 11	9/17/1945	A+
Musette	Saucier	female	NIORT	Poitou-Charentes	79000	05 19 37 21 60	10/24/1980	A+
Fauna	Sylvain	female	NANTES	Pays de la Loire	44300	02 51 42 63 63	8/23/1993	O+
Valentine	Cliche	female	PARIS	Île-de-France	75014	01 90 65 73 17	4/17/1986	AB+
Bayard	Cressac	male	MARSEILLE	Provence-Alpes-Côte d'Azur	13006	04 49 18 47 87	12/5/1937	O+
Genevre	Patenaude	female	CAEN	Basse-Normandie	14000	02 04 22 54 04	6/13/1984	B+
Jacqueline	Carrière	female	ROUBAIX	Nord-Pas-de-Calais	59100	03 17 89 14 85	11/27/1963	O+
Jules	Leroy	male	BELFORT	Franche-Comté	90000	03 26 67 46 33	3/15/1984	B+
Étienne	Lapointe	male	SAINT-CHAMOND	Rhône-Alpes	42400	04 78 41 58 62	8/28/1990	A+
Bruno	Jardine	male	BORDEAUX	Aquitaine	33800	05 58 68 48 43	6/18/1982	B+
Favor	Labrosse	female	LAON	Picardie	2000	03 16 65 80 86	6/23/1983	A+
Archaimbau	Étoile	male	CHÂLONS-EN-CHAMPAGNE	Champagne-Ardenne	51000	03 65 63 71 76	11/14/1955	B+
Sydney	Givry	female	LA PLAINE-SAINT-DENIS	Île-de-France	93210	01 67 32 55 86	7/8/1937	O+
Roger	Monjeau	male	LYON	Rhône-Alpes	69004	04 26 98 55 86	12/27/1989	A-
Avelaine	Cousteau	female	LUNEL	Languedoc-Roussillon	34400	04 85 93 75 81	8/19/1957	B+
Florence	Létourneau	female	BONDY	Île-de-France	93140	01 35 56 12 92	11/29/1937	A+
Parfait	Authier	male	PARIS	Île-de-France	75015	01 54 79 74 92	8/31/1953	B+
Victorine	Cotuand	female	PESSAC	Aquitaine	33600	05 09 91 13 25	2/13/1968	AB+
Éric	Blondlot	male	OULLINS	Rhône-Alpes	69600	04 49 56 06 04	1/28/1979	A+
Normand	L'Heureux	male	BOULOGNE-BILLANCOURT	Île-de-France	92100	01 22 92 04 07	4/8/1990	O+
Warrane	Bélanger	male	ERMONT	Île-de-France	95120	01 27 34 42 03	3/18/1991	A+
Galatee	Labbé	female	BOURG-EN-BRESSE	Rhône-Alpes	1000	04 63 87 65 60	12/17/1981	O+
Christabel	Boileau	female	AMIENS	Picardie	80080	03 92 30 64 88	4/3/1979	A+
Claude	Collin	male	VÉLIZY-VILLACOUBLAY	Île-de-France	78140	01 96 98 64 32	6/7/1938	B+
Gauthier	Poisson	male	TOULOUSE	Midi-Pyrénées	31000	05 09 53 81 98	7/8/1944	A-
Hugues	St-Pierre	male	LENS	Nord-Pas-de-Calais	62300	03 10 37 80 86	4/14/1990	A+
Leroy	Chenard	male	LILLE	Nord-Pas-de-Calais	59800	03 57 54 12 09	12/3/1942	O+
Zdenek	Audibert	male	NANTES	Pays de la Loire	44000	02 68 77 84 44	11/18/1967	B+
Odo	Paulet	male	LE PLESSIS-ROBINSON	Île-de-France	92350	01 09 66 43 81	10/12/1983	O+
Gabrielle	Martel	female	GOUSSAINVILLE	Île-de-France	95190	01 14 35 43 76	7/8/1988	A+
Maslin	Gosselin	male	COLMAR	Alsace	68000	03 05 05 54 24	11/13/1972	B+
Eleanor	Vaillancourt	female	BAR-LE-DUC	Lorraine	55000	03 51 33 05 46	2/28/1963	O+
Agramant	Paquin	male	CONCARNEAU	Bretagne	29900	02 52 21 43 48	2/9/1958	O+
